lesson_name,L0,T,S,G
G7.N4.2.1.2,0.323,0.022,0.203,0.252
G7.N4.2.1.3,0.302,0.065,0.299,0.154
G7.N4.2.1.4,0.661,0.012,0.184,0.299
G7.N4.2.2.1,0.428,0.001,0.299,0.299
G7.N5.1.1.1,0.866,0.001,0.177,0.299
G7.N5.1.1.2,0.138,0.408,0.073,0.299
G8.A2.1.1.1,0.264,0.069,0.299,0.299
G8.A2.1.2.1,0.043,0.023,0.127,0.299
G8.N3.2.4.1,0.184,0.021,0.299,0.269
G8.N3.2.4.2,0.506,0.088,0.299,0.299
G8.N4.2.3.1,0.499,0.033,0.299,0.299
G8.N4.2.3.2,0.298,0.074,0.273,0.257
G8.S2.1.2.1,0.162,0.041,0.281,0.274
G9.A2.1.3.1,0.381,0.008,0.243,0.299
G9.A2.1.4.1,0.218,0.001,0.088,0.299
G9.A3.1.2.1,0.453,0.001,0.26,0.299
G9.A3.1.3.1,0.044,0.043,0.124,0.043
G9.A3.3.1.1,0.178,0.074,0.299,0.181
G9.A3.3.4.1,0.379,0.006,0.299,0.299
G9.A3.4.1.1,0.309,0.001,0.299,0.153
G9.G1.1.12.1,0.001,0.007,0.001,0.299
G9.G1.1.6.1,0.573,0.001,0.251,0.299
G9.G1.1.8.1,0.348,0.078,0.299,0.299
G9.G3.1.3.1,0.596,0.064,0.069,0.299
G9.G3.1.4.1,0.156,0.028,0.236,0.265
G9.M1.2.2.1,0.01,0.007,0.299,0.275
G9.N5.1.2.1,0.142,0.182,0.146,0.213
G9.N5.1.3.1,0.887,0.135,0.174,0.299
G9.N5.2.1.1,0.118,0.038,0.299,0.172
G9.N5.2.1.2,0.659,0.018,0.299,0.204
G9.N5.2.1.3,0.443,0.46,0.173,0.001
G9.N5.2.1.4,0.879,0.001,0.299,0.299
G9.S1.1.7.1,0.829,0.017,0.299,0.299
G9.S1.1.8.1,0.068,0.278,0.299,0.246
G9.S1.2.1.1,0.012,0.223,0.299,0.299
G9.S1.2.1.2,0.185,0.06,0.299,0.299
G9.S2.1.3.1,0.014,0.008,0.282,0.143
